"coops","dry-mode","gc.algo","gc.threads","heap.old","jvm","-","host","pause.avg","pause.count","pause.sdev","pause.sqtotal","pause.total"
"false","false","cms","32","4","hs7u15","","longmrdfappd2","125.31670822942644","401","7.6361749075769625","6320798","50252"
"true","true","cms","8","0.7","hs7u15","","longmrdfappd2","4.41645885286783","401","1.9555225026273615","9355","1771"
"true","false","cms","4","3","hs7u15","","longmrdfappd1","417.72319201995015","401","35.48327814922072","70476443","167507"
"true","false","cms","48","16","hs7u15","","longmrdfappd3","160.98004987531172","401","9.222362553588521","10425851","64553"
"false","true","cms","48","16","hs7u15","","longmrdfappd2","25.261845386533665","401","8.860164180914092","287382","10130"
"true","true","cms","8","1.5","hs7u15","","longmrdfappd2","8.75062344139651","401","1.0100027704705599","31115","3509"
"true","true","cms","8","12","hs7u15","","longmrdfappd1","59.94513715710723","401","4.768138492319168","1450078","24038"
"true","true","cms","16","16","hs7u15","","longmrdfappd3","44.53615960099751","401","9.996723364153643","835445","17859"
"false","false","cms","16","0.7","hs7u15","","longmrdfappd2","98.62344139650872","401","18.94789677370066","4044328","39548"
"false","true","cms","4","0.7","hs7u15","","longmrdfappd2","7.107231920199501","401","6.77577999806098","38666","2850"
"true","false","cms","8","1.5","hs7u15","","longmrdfappd2","182.79052369077306","401","10.29228750181496","13440841","73299"
"false","true","cms","24","28","hs7u15","","longmrdfappd3","55.97256857855361","401","2.9613883708832778","1259821","22445"
"false","true","cms","16","2","hs7u15","","longmrdfappd2","6.977556109725686","401","2.1931644004156863","21452","2798"
"false","false","cms","16","1","hs7u15","","longmrdfappd3","131.22942643391522","401","77.16024218782614","9293121","52623"
"false","false","cms","8","1.5","hs7u15","","longmrdfappd2","148.3640897755611","401","11.3676755369837","8878592","59494"
"true","false","cms","16","28","hs7u15","","longmrdfappd1","320.00498753117205","401","9.509411275432972","41099942","128322"
"false","true","cms","48","0.7","hs7u15","","longmrdfappd2","9.329177057356608","401","7.823576592220243","59445","3741"
"false","true","cms","24","3","hs7u15","","longmrdfappd1","7.87780548628429","401","1.9526901124810798","26415","3159"
"false","false","cms","24","0.7","hs7u15","","longmrdfappd2","96.91271820448878","401","3.6058781108789026","3771436","38862"
"false","true","cms","16","20","hs7u15","","longmrdfappd3","56.588528678304236","401","4.2617322973604495","1291390","22692"
"true","true","cms","8","1.5","hs7u15","","longmrdfappd3","8.072319201995013","401","8.2133190813474","53181","3237"
"false","false","cms","24","8","hs7u15","","longmrdfappd1","158.09725685785537","401","8.321052677528371","10050657","63397"
"false","true","cms","48","0.7","hs7u15","","longmrdfappd1","8.668329177057357","401","5.459186081248498","42082","3476"
"false","false","cms","4","1","hs7u15","","longmrdfappd3","220.34413965087282","401","29.001612678875464","19806446","88358"
"true","false","cms","48","1.5","hs7u15","","longmrdfappd1","117.05236907730674","401","7.526163881189723","5516918","46938"
"false","false","cms","16","4","hs7u15","","longmrdfappd3","152.713216957606","401","9.084257841122765","9384944","61238"
"true","false","cms","4","16","hs7u15","","longmrdfappd2","657.354114713217","401","42.93042900949654","174016939","263599"
"false","true","cms","8","0.7","hs7u15","","longmrdfappd2","4.476309226932669","401","7.100634817192181","28253","1795"
"false","false","cms","16","1.5","hs7u15","","longmrdfappd3","121.30174563591022","401","5.858363328857774","5914122","48642"
"false","true","cms","16","12","hs7u15","","longmrdfappd2","34.67082294264339","401","6.8103172113913315","500627","13903"
"false","false","cms","48","20","hs7u15","","longmrdfappd3","142.40399002493766","401","5.965936894765025","8146110","57104"
"true","false","cms","16","28","hs7u15","","longmrdfappd1","315.98254364089775","401","7.930005173931142","40063049","126709"
"true","true","cms","16","3","hs7u15","","longmrdfappd3","9.685785536159601","401","0.5003962957080922","37720","3884"
"false","false","cms","32","20","hs7u15","","longmrdfappd2","172.93266832917706","401","8.801096911471136","12023250","69346"
"true","true","cms","8","2","hs7u15","","longmrdfappd3","11.506234413965087","401","0.5566071380671963","53214","4614"
